timestamp,user,method,path,status
2026-05-12T11:59:02.766315,anonymous,GET,/metrics,200
2026-05-12T11:59:17.755140,anonymous,GET,/metrics,200
2026-05-12T11:59:32.749375,anonymous,GET,/metrics,200
2026-05-12T11:59:47.749790,anonymous,GET,/metrics,200
2026-05-12T12:00:02.756016,anonymous,GET,/metrics,200
2026-05-12T12:00:18.240181,anonymous,GET,/metrics,200
2026-05-12T12:00:33.112513,anonymous,GET,/metrics,200
2026-05-12T12:00:47.739828,anonymous,GET,/metrics,200
2026-05-12T12:01:02.725048,anonymous,GET,/metrics,200
2026-05-12T12:01:17.723597,anonymous,GET,/metrics,200
2026-05-12T12:01:32.725170,anonymous,GET,/metrics,200
2026-05-12T12:01:47.725131,anonymous,GET,/metrics,200
2026-05-12T12:02:02.720703,anonymous,GET,/metrics,200
2026-05-12T12:02:17.725740,anonymous,GET,/metrics,200
2026-05-12T12:02:32.716513,anonymous,GET,/metrics,200
2026-05-12T12:02:47.717562,anonymous,GET,/metrics,200
2026-05-12T12:03:02.714483,anonymous,GET,/metrics,200
2026-05-12T12:03:17.712606,anonymous,GET,/metrics,200
2026-05-12T12:03:32.723823,anonymous,GET,/metrics,200
2026-05-12T12:03:37.685885,alice,GET,/api/patients/raw,200
2026-05-12T12:03:47.713202,anonymous,GET,/metrics,200
2026-05-12T12:03:55.181745,alice,GET,/api/patients/raw,200
2026-05-12T12:03:57.216538,bob,GET,/api/patients/raw,403
2026-05-12T12:03:59.481788,bob,GET,/api/patients/anonymized,200
2026-05-12T12:04:01.609613,carol,GET,/api/metrics/aggregated,200
2026-05-12T12:04:02.707398,anonymous,GET,/metrics,200
2026-05-12T12:04:03.650262,anonymous,GET,/metrics,200
2026-05-12T12:04:17.740776,anonymous,GET,/metrics,200
2026-05-12T12:04:32.701265,anonymous,GET,/metrics,200
2026-05-12T12:04:47.698968,anonymous,GET,/metrics,200
2026-05-12T12:05:02.699423,anonymous,GET,/metrics,200
2026-05-12T12:05:17.699883,anonymous,GET,/metrics,200
2026-05-12T12:05:32.697194,anonymous,GET,/metrics,200
